t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
234.95	14.5	2.0	0.00	2.58	4
235.45	14.5	0.0	0.00	2.73	4
235.96	14.5	2.0	0.00	2.72	4
236.46	14.5	2.0	0.00	2.94	4
236.96	14.5	2.0	0.00	2.87	4
237.47	14.5	2.0	0.00	2.97	4
237.97	14.5	2.0	0.00	2.91	4
238.48	14.5	2.0	0.00	3.01	4
238.98	14.5	2.0	0.00	3.06	4
239.48	14.5	2.0	0.00	3.00	4
239.99	14.5	4.0	0.00	2.94	4
240.49	14.5	2.0	0.00	3.01	4
241.00	14.5	2.0	0.00	2.93	4
241.50	14.5	2.0	0.00	3.02	4
242.00	14.5	2.0	0.00	3.11	4
242.51	14.5	2.0	0.00	2.43	4
243.01	14.5	2.0	0.00	2.73	4
243.52	14.5	0.0	0.00	1.78	4
244.02	14.5	2.0	0.00	1.89	4
244.52	14.5	2.0	0.00	1.82	4
245.03	14.5	2.0	0.00	1.96	4
245.53	14.5	0.0	0.00	1.87	4
246.04	14.5	2.0	0.00	1.29	4
246.54	14.5	0.0	0.00	1.11	4
247.05	14.5	0.0	0.00	1.21	4
247.55	14.5	2.0	0.00	1.25	4
248.05	14.5	0.0	0.00	1.24	4
248.56	14.5	2.0	0.00	1.29	4
249.06	14.5	0.0	0.00	1.30	4
249.57	14.5	2.0	0.00	1.24	4
250.07	14.5	0.0	0.00	1.32	4
250.57	14.5	0.0	0.00	1.04	4
251.08	14.5	2.0	0.00	1.06	4
251.58	14.5	0.0	0.00	1.19	4
252.09	14.5	2.0	0.00	1.28	4
252.59	14.5	0.0	0.00	1.32	4
253.09	14.5	2.0	0.00	1.24	4
253.60	14.5	0.0	0.00	1.36	4
254.10	14.5	0.0	0.00	1.38	4
254.61	14.5	2.0	0.00	1.32	4
255.11	14.5	0.0	0.00	1.37	4
255.61	14.5	2.0	0.00	1.34	4
256.12	14.5	0.0	0.00	0.85	4
256.62	14.5	0.0	0.00	0.89	4
257.13	14.5	0.0	0.00	0.76	4
257.63	14.5	2.0	0.00	0.80	4
258.13	14.5	0.0	0.00	0.84	4
258.64	14.5	0.0	0.00	0.84	4
259.14	14.5	2.0	0.00	0.85	4
259.64	14.5	0.0	0.00	0.83	4
260.15	14.5	0.0	0.00	0.95	4
260.65	14.5	2.0	0.00	0.98	4
261.16	14.5	0.0	0.00	1.01	4
261.66	14.5	0.0	0.00	1.03	4
262.16	14.5	0.0	0.00	1.11	4
262.67	14.5	2.0	0.00	1.07	4
263.17	14.5	0.0	0.00	1.07	4
263.68	14.5	0.0	0.00	1.28	4
264.18	14.5	2.0	0.00	1.45	4
264.68	14.5	2.0	0.00	1.67	4
