t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
546.98	61.5	3.8	0.00	1.84	1
547.50	61.5	0.0	0.00	1.64	1
548.03	61.5	1.9	0.00	1.84	1
548.55	61.5	3.8	0.00	1.79	1
549.07	61.5	1.9	0.00	1.80	1
549.59	61.5	1.9	0.00	1.80	1
550.11	61.5	1.9	0.00	1.76	1
550.64	61.5	3.8	0.00	1.61	1
551.16	61.5	1.9	0.00	1.47	1
551.68	61.5	1.9	0.00	1.71	1
552.20	61.5	0.0	0.00	1.69	1
552.73	61.5	1.9	0.00	1.62	1
553.25	61.5	3.8	0.00	1.59	1
553.77	61.5	1.9	0.00	1.77	1
554.29	61.5	0.0	0.00	1.64	1
554.81	61.5	3.8	0.00	1.67	1
555.33	61.5	1.9	0.00	1.86	1
555.86	61.5	3.8	0.00	1.82	1
556.38	61.5	1.9	0.00	1.91	1
556.90	61.5	1.9	0.00	1.90	1
557.42	61.5	1.9	0.00	1.93	1
557.95	61.5	1.9	0.00	1.86	1
558.47	61.5	1.9	0.00	1.73	1
558.99	61.5	3.8	0.00	1.51	1
559.51	61.5	1.9	0.00	1.48	1
560.03	61.5	0.0	0.00	1.37	1
560.56	61.5	1.9	0.00	1.28	1
561.08	61.5	1.9	0.00	1.50	1
561.60	61.5	1.9	0.00	1.38	1
562.12	61.5	0.0	0.00	1.20	1
562.64	61.5	3.8	0.00	1.22	1
563.17	61.5	1.9	0.00	1.26	1
563.69	61.5	1.9	0.00	1.25	1
564.21	61.5	0.0	0.00	1.38	1
564.73	61.5	1.9	0.00	1.22	1
565.25	61.5	1.9	0.00	1.29	1
565.78	61.5	3.8	0.00	1.31	1
566.30	61.5	0.0	0.00	1.23	1
566.82	61.5	1.9	0.00	1.22	1
567.34	61.5	0.0	0.00	1.29	1
567.86	61.5	3.8	0.00	1.22	1
568.39	61.5	0.0	0.00	1.07	1
568.91	61.5	1.9	0.00	1.29	1
569.43	61.5	1.9	0.00	1.33	1
569.95	61.5	0.0	0.00	1.18	1
570.47	61.5	1.9	0.00	1.20	1
571.00	61.5	1.9	0.00	1.12	1
571.52	61.5	1.9	0.00	1.18	1
572.04	61.5	1.9	0.00	1.11	1
572.56	61.5	0.0	0.00	1.11	1
573.08	61.5	3.8	0.00	1.19	1
573.61	61.5	0.0	0.00	1.32	1
574.13	61.5	1.9	0.00	1.60	1
